,52WeekChange,SandP52WeekChange,annualHoldingsTurnover,annualReportExpenseRatio,auditRisk,beta,beta3Year,boardRisk,bookValue,category,compensationRisk,currentPrice,currentRatio,dateShortInterest,debtToEquity,earningsGrowth,earningsQuarterlyGrowth,ebitda,ebitdaMargins,enterpriseToEbitda,enterpriseToRevenue,enterpriseValue,financialCurrency,fiveYearAverageReturn,floatShares,forwardEps,forwardPE,freeCashflow,fullTimeEmployees,fundFamily,fundInceptionDate,grossMargins,grossProfits,heldPercentInsiders,heldPercentInstitutions,industry,lastCapGain,lastDividendValue,lastFiscalYearEnd,lastSplitDate,lastSplitFactor,legalType,maxAge,maxAge_finData,morningStarOverallRating,morningStarRiskRating,mostRecentQuarter,netIncomeToCommon,nextFiscalYearEnd,numberOfAnalystOpinions,operatingCashflow,operatingMargins,overallRisk,pegRatio,priceHint,priceToBook,priceToSalesTrailing12Months,profitMargins,profitMargins_finData,quickRatio,recommendationKey,recommendationMean,returnOnAssets,returnOnEquity,revenueGrowth,revenuePerShare,revenueQuarterlyGrowth,sector,shareHolderRightsRisk,sharesOutstanding,sharesPercentSharesOut,sharesShort,sharesShortPreviousMonthDate,sharesShortPriorMonth,shortPercentOfFloat,shortRatio,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,threeYearAverageReturn,totalAssets,totalCash,totalCashPerShare,totalDebt,totalRevenue,trailingEps,yield,ytdReturn
A,0.044734478,0.17144,,,2.0,1.454999,,2.0,14.307,,8.0,67.54,3.616,1534291200,39.383,0.352,0.349,1160000000,0.24121,18.214,4.393,21127940096,USD,,318400280,2.97,22.740742,574124992,14500.0,,,0.54585,2409000000,0.00266,0.86880994,Diagnostics & Research,,,1509408000,1414972800,1398/1000,,1,86400,,,1532995200,298000000,1572480000,14,1003000000,0.19838,8.0,2.24,2,4.720766,,0.06197,0.06197,2.824,buy,1.6,0.07179,0.06493,0.08,14.935,,Healthcare,9.0,319952000,0.0147,4686717,1531440000,5108038,0.0146,2.02,84.0,71.0,78.07,80.0,,,2131000064,6.68,1799000064,4808999936,0.913,,
AA,-0.01487571,0.17144,,,1.0,,,1.0,26.942,,2.0,44.67,1.421,1534291200,27.138,-0.025,0.0,2699000064,0.21074,4.169,0.879,11252808704,USD,,186256731,3.88,11.512886,1369250048,14600.0,,,0.23737,2586000000,0.06855,0.00023,Aluminum,,,1514678400,1477958400,1000/801,,1,86400,,,1530316800,142000000,1577750400,12,464000000,0.15062,1.0,-6.06,2,1.6580061,,0.011089999,0.011089999,0.758,buy,2.1,0.07209,0.080620006,0.252,69.227,,Basic Materials,1.0,186472992,0.049000002,9139787,1531440000,6516561,0.049099997,1.79,75.0,48.0,59.17,58.5,,,1088999936,5.84,1928999936,12807000064,0.755,,
AABA,0.08243561,0.17144,,,,1.952252,,,78.234,,,69.55,1.954,1534291200,7.109,,,181490000,0.68216,330.313,225.328,59948453888,USD,,609907195,-12.41,-5.6043515,,,,,1.0,,0.07831,0.84872,Asset Management,,,1514678400,1084320000,2/1,,1,86400,,,1530316800,22582235136,1577750400,2,3732911104,0.68216,,,2,0.8889997,,84.87946,84.87946,1.954,buy,2.5,0.0014300001,0.40715998,,0.332,,Financial Services,,605507968,0.054,43230031,1531440000,35761739,0.048699997,2.6,115.0,88.0,101.5,101.5,,,2960000,0.004,4452178944,266050000,28.21,,
AAL,-0.10836458,0.17144,,,1.0,1.307785,,4.0,-1.887,,3.0,40.48,0.55,1534291200,,-0.303,-0.345,6018999808,0.13931,6.314,0.88,38006571008,USD,,411105787,5.78,7.00346,-225875008,131600.0,,,0.28282,12755000000,0.415,0.06132,Airlines,,,1514678400,,,,1,86400,,,1530316800,1468000000,1577750400,15,3688999936,0.09064,5.0,0.73,2,,,0.03398,0.03398,0.397,buy,1.9,0.0462,1.03162,0.037,91.063,,Industrials,7.0,460508992,0.0647,29783916,1531440000,32835765,0.086,4.94,70.0,40.0,51.4,52.0,,,4673999872,10.15,24075999232,43204001792,3.072,,
AAOI,-0.2943371,0.17144,,,2.0,1.092108,,7.0,17.451,,8.0,41.36,3.216,1534291200,17.812,-0.72,-0.724,65227000,0.2027,12.336,2.501,804669568,USD,,16713159,2.93,14.116041,-28227500,3054.0,,,0.40779,166739000,0.052750003,0.74411005,Semiconductors,,,1514678400,,,,1,86400,,,1530316800,35245000,1577750400,11,52479000,0.122700006,7.0,1.39,2,2.3700647,,0.10953,0.10953,1.741,buy,2.5,0.05614,0.10842,-0.252,16.547,,Technology,8.0,19698000,0.4679,9216710,1531440000,11399309,0.5684,6.21,125.0,28.0,49.77,45.0,,,76190000,3.868,61029000,321795008,1.747,,
AAP,0.6500102,0.17144,,,1.0,0.978446,,1.0,49.396,,9.0,164.03,1.634,1534291200,28.575,0.359,0.354,932238016,0.09897,13.006,1.287,12124946432,USD,,73666698,7.99,20.529411,629973888,40000.0,,,0.43636,4085049000,0.0028900001,1.03284,Specialty Retail,,,1514592000,1127692800,3/2,,1,86400,,,1531526400,535057984,1577664000,17,777424000,0.07324,3.0,1.67,2,3.3207142,,0.056799997,0.056799997,0.435,buy,2.3,0.04993,0.15769,0.028,127.386,,Consumer Cyclical,1.0,74080000,0.0418,3094591,1531440000,3374272,0.0437,3.38,185.0,120.0,160.88,170.0,,,902249024,12.184,1045257984,9419718656,7.22,,
AAPL,0.3717159,0.17144,,,1.0,1.142598,,2.0,23.735,,6.0,227.63,1.307,1534291200,99.696,0.401,0.321,78533001216,0.30764,14.395,4.429,1130508189696,USD,,4574761009,13.56,16.786873,41444749312,100000.0,,,0.38267,88186000000,0.00068000006,0.61332,Consumer Electronics,,,1506729600,1402272000,7/1,,1,86400,,,1530316800,56120000512,1569801600,35,73032998912,0.26599002,1.0,1.47,2,9.590478,,0.21983999,0.21983999,1.099,buy,2.0,0.12222999,0.45373002,0.173,50.626,,Technology,1.0,4829929984,0.0087,42160518,1531440000,42845978,0.0083,1.61,275.0,175.0,216.99,219.0,,,70969999360,14.694,114600001536,255273992192,11.038,,
AAXN,2.0584445,0.17144,,,5.0,1.11078,,3.0,7.7,,4.0,68.26,4.028,1534291200,,2.75,2.728,36533000,0.094799995,97.564,9.249,3564295936,USD,,52834728,0.69,98.927536,13054625,949.0,,,0.62380004,207088000,0.0226,0.82294,Aerospace & Defense,,,1514678400,1101772800,2/1,,1,86400,,,1530316800,19762000,1577750400,8,47054000,0.06937,6.0,4.26,2,8.864936,,0.05128,0.05128,3.444,buy,2.4,0.034849998,0.06455,0.246,7.189,,Industrials,6.0,58319700,0.0684,3988403,1531440000,6165892,0.1112,4.28,80.0,34.0,66.13,69.5,,,311631008,5.343,0,385353984,0.357,,
ABX,-0.42186636,0.17144,,,1.0,-0.431176,,6.0,8.016,,1.0,10.42,2.118,1534291200,57.554,,,3531000064,0.45721,5.176,2.367,18277152768,USD,,1163960747,0.66,15.787878,1308999936,18421.0,,,0.35529998,3095000000,0.00275,0.58881,Gold,,,1514678400,731030400,2/1,,1,86400,,,1530316800,-261000000,1577750400,21,1770000000,0.30273,2.0,-5.04,2,1.2999003,,-0.033800002,-0.033800002,1.055,hold,3.0,0.05738,-0.03458,-0.207,6.621,,Basic Materials,3.0,1167160064,0.015,14028734,1531440000,8521707,,1.25,18.0,11.0,14.34,15.0,,,2084999936,1.786,6392000000,7722999808,-0.23,,
ACAD,-0.6012168,0.17144,,,2.0,3.966119,,6.0,2.118,,7.0,14.22,6.118,1534291200,,,,-251680992,-1.35992,-6.142,8.352,1545741952,USD,,97680253,-1.53,-9.294118,-83654376,420.0,,,0.02228,111841000,0.0011999999,0.95925003,Biotechnology,,,1514678400,,,,1,86400,,,1530316800,-251680992,1577750400,9,-174507008,-1.3754201,7.0,-0.3,2,6.713881,,-1.35992,-1.35992,5.761,buy,2.2,-0.41255,-0.74039,0.872,1.492,,Healthcare,8.0,125007000,0.1294,16170421,1531440000,16280528,0.2053,5.58,60.0,14.0,30.56,25.0,,,256855008,2.055,0,185071008,-2.029,,
